id,nace_kodu,sektor,hedef_yatirim,oncelikli_yatirim,yuksek_teknoloji,orta_yuksek_teknoloji,sartlar,bolge_1,bolge_2,bolge_3,bolge_4,bolge_5,bolge_6,created_at,updated_at
4,01.19.99,Başka yerde sınıflandırılmamış tek yıllık diğer bitkisel ürünlerin yetiştirilmesi,true,true,false,false,"Hedef; 1) Sera Yatırımlarında;
a) 1 ve 2. Bölgelerde asgari 20 dekar,
b) 3. Bölgede asgari 15 dekar,
c) 4 ve 5. Bölgelerde asgari 10 dekar,
d) 6. Bölgede asgari 5 dekar ve üzeri olması şartı aranır.
2) Yapay ışıkla fotosentez sağlanan kontrollü bitkisel üretim yatırımlarında katmanlarının toplam alanının asgari 1.000 m2 olması şartı aranır.
Diğer yatırımlar desteklenmez.
1090,38.1,Atıkların toplanması,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1091,38.11,Tehlikesiz atıkların toplanması,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1092,38.11.01,"Tehlikesiz atıkların toplanması (çöpler, geri dönüştürülebilir maddeler, tekstil atıkları, vb.) (inşaat ve yıkım atıkları, çalı, çırpı, moloz gibi enkazlar hariç)",true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1093,38.11.03,Tehlikesiz atık transfer istasyonlarının işletilmesi,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1094,38.12,Tehlikeli atıkların toplanması,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1095,38.12.01,Tehlikeli atıkların toplanması,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1096,38.2,Atık geri kazanımı,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1097,38.21,Materyallerin geri kazanımı,true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1098,38.21.02,Gemi ve yüzer yapıların hurdalarının materyallerinin geri kazanımı amacıyla parçalara ayrılması (sökülmesi),true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1099,38.21.03,"Hurdaların geri kazanım amacıyla parçalara ayrılması (otomobil, bilgisayar, televizyon vb. donanımlar) (gemiler ve yüzer yapılar ile satmak için kullanılabilir parçalar oluşturmak amacıyla sökme hariç)",true,true,false,false," Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
